left,right,cosine
118,206,3.994944580896206
6,88,3.9949239998385764
113,187,3.9948981421913645
51,206,3.994896509087024
123,165,3.9948913118038085
5,141,3.994850166700298
8,217,3.9948443408493732
79,239,3.9948146960216917
133,176,3.9948139922342003
1,43,3.994802054513948
6,123,3.994796772833057
168,176,3.9947559497601652
170,225,3.994749614887333
5,79,3.994718151300341
1,4,3.994716280567608
104,207,3.99467536327718
48,56,3.994652780676663
63,133,3.994640426692185
83,240,3.9946363281361226
36,229,3.99461612718627
9,244,3.994612623869206
199,202,3.994606736907114
121,214,3.99460664288936
5,206,3.9945936250327856
43,111,3.994542845381525
79,111,3.9945027209260173
0,120,3.994473268145149
118,203,3.9944442748814297
79,143,3.9944330681712996
3,206,3.994394730308468
33,84,3.9943600828996297
5,51,3.9943308966716224
9,36,3.9943283485334957
81,133,3.994306968990505
80,189,3.994291330651314
111,141,3.994280768815363
65,187,3.99427066600719
66,235,3.994222682517214
1,206,3.9942146577379045
1,143,3.994179929740962
17,151,3.994136626614295
0,199,3.994123527833451
11,170,3.994106341811392
83,154,3.9940978814108874
155,201,3.994075428968639
46,143,3.994053627073888
151,156,3.9940493949881564
63,199,3.9940479172460845
48,115,3.993998552960452
57,168,3.9939943393679744
95,120,3.9939820468067655
11,225,3.993979590883528
3,84,3.993969192506132
156,235,3.9939586828188656
104,113,3.9939578301657783
48,57,3.993943765801599
46,51,3.9939433572252954
66,201,3.9939080005668193
151,155,3.993902860213624
111,118,3.9938983927920026
10,174,3.9938891994748866
56,168,3.993887294185225
20,46,3.9938398180975403
17,235,3.993814559198462
5,111,3.9937844265033484
70,203,3.99377246156169
51,141,3.993770549410804
17,101,3.9937576158101473
143,167,3.9937150713584657
88,123,3.9936548727041474
83,160,3.993638871055572
47,115,3.993630605641766
46,141,3.9936300752476948
10,51,3.9936027210019907
11,71,3.993566102573446
47,168,3.9935616107298637
141,206,3.9935563032289902
3,141,3.9935395709540478
33,141,3.993539142190455
5,20,3.9935085282823883
1,203,3.993505611689066
84,118,3.9934977891585346
104,187,3.9934596264664117
8,225,3.993437453618518
149,230,3.9934367435276217
1,84,3.993421230272437
20,203,3.993420562943382
88,239,3.9933900982082684
81,202,3.99337255396788
120,199,3.993368475477218
63,202,3.993352399873627
39,174,3.993349912179198
95,209,3.9933371980187418
30,168,3.9932704330494238
79,88,3.993253971217153
27,40,3.993238926556472
52,187,3.993211111696655
56,176,3.993209525823773
17,102,3.9931549535557793
70,123,3.9931192597485916
43,46,3.9930910049009745
26,48,3.9930697666469914
63,168,3.9930126661994123
160,240,3.993006228404468
1,239,3.99300214883273
11,189,3.992972404942085
43,203,3.992971595381967
48,202,3.992960928653814
53,163,3.992948357546626
47,202,3.9929303984833098
84,206,3.9929142992094304
52,113,3.992897923284268
4,118,3.992855018595751
8,71,3.992849441466819
57,202,3.9928185350380465
30,47,3.9928168931022214
1,141,3.9928166712056283
167,239,3.992816670915615
56,199,3.9928148725365338
3,130,3.9928114554720473
87,187,3.9927271030771117
56,115,3.992645197907803
62,74,3.9926324885067626
17,222,3.9925900519527655
123,128,3.9925799037004213
79,141,3.9925777354290766
14,235,3.992575269487808
133,199,3.992569355914159
168,202,3.99256428377793
141,167,3.992516918309468
1,111,3.9925153801594595
46,79,3.992508342459674
111,239,3.99245201508121
83,222,3.9924414487879534
4,46,3.9924013707726713
84,167,3.9923970341475665
5,43,3.9923920184143302
63,81,3.992378578853426
203,239,3.9923686628558235
56,81,3.992362765335022
176,202,3.992360383856188
26,63,3.992356644049975
141,239,3.9923393901952515
26,56,3.9923183279626167
33,130,3.9923101769992533
38,124,3.992302566138031
20,118,3.992298028122937
57,209,3.9922868925544153
64,86,3.992206211641113
121,130,3.9921961584206955
57,133,3.9921807745332862
26,202,3.9921620275652203
46,84,3.992154082376588
1,88,3.9921330410548572
8,170,3.992097091180447
48,133,3.9920909769520376
6,203,3.992065034487795
112,148,3.9920629679711204
33,206,3.9920462601768234
102,201,3.9920270946359686
3,174,3.9919959174200734
20,43,3.9919888793954716
4,51,3.991979676656772
4,79,3.9919728987426457
20,79,3.9919595297152464
24,33,3.991950550158797
39,214,3.9919481495846836
66,156,3.991938154957124
30,133,3.9919174900391337
71,214,3.9919169762303803
56,133,3.9918807883134058
65,87,3.9918780954546773
199,209,3.9918560917758033
17,83,3.991837482738069
14,155,3.991747008264502
43,141,3.991692563698015
48,168,3.9916861795199825
9,41,3.9916854154272565
168,199,3.991654301495417
4,5,3.991620568528954
5,239,3.9916049074400295
71,217,3.991591081091415
49,157,3.9915646524445174
33,214,3.9915426368678033
39,217,3.9914854719132467
36,212,3.9913543937540075
20,88,3.991346748134727
83,235,3.991335152886321
17,230,3.991332158710953
105,175,3.991326528746716
84,111,3.991312219765481
230,235,3.99130808615805
110,173,3.9912987561424482
48,72,3.9912971240283053
103,199,3.9912750275949715
83,156,3.9912743192797193
39,225,3.9911989078857375
64,157,3.9911974353328015
148,175,3.991127146782146
3,214,3.9911210591102577
139,203,3.9910684374584573
10,121,3.9910649653588015
81,209,3.991042863913888
47,113,3.9910388223626665
